N°,id,name,up_to_date,archived,status,aired_episodes,seen_episodes,runtime,all_images.poster
132,377902,"So I'm a Spider, So What?",True,False,Ended,24,24,24,https://artworks.thetvdb.com/banners/v4/series/377902/posters/6434083987c18.jpg
133,388574,The Dungeon of Black Company,True,False,Ended,12,12,24,https://artworks.thetvdb.com/banners/v4/series/388574/posters/6433f60030e2f.jpg
134,104741,Tenchi Muyo! War on Geminar,True,False,Ended,13,13,45,https://artworks.thetvdb.com/banners/posters/104741-1.jpg
135,319410,Eromanga Sensei,True,False,Ended,12,14,25,https://artworks.thetvdb.com/banners/v4/series/319410/posters/668e346490cb7.jpg
136,254653,High School D×D,True,False,Ended,48,52,25,https://artworks.thetvdb.com/banners/posters/254653-3.jpg
137,311014,Tales of Zestiria the X,True,False,Ended,25,25,25,https://artworks.thetvdb.com/banners/posters/311014-4.jpg
138,108611,White Collar,False,False,Ended,81,0,45,https://artworks.thetvdb.com/banners/posters/108611-11.jpg
139,278941,Dragonar Academy,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/posters/278941-2.jpg
140,338192,Devilman Crybaby,False,False,Ended,10,0,25,https://artworks.thetvdb.com/banners/posters/338192-4.jpg
141,321671,Armed Girl's Machiavellism,True,False,Ended,12,13,25,https://artworks.thetvdb.com/banners/posters/321671-3.jpg
142,261202,Dragons,True,False,Ended,118,119,23,https://artworks.thetvdb.com/banners/posters/261202-5.jpg
143,402412,Komi Can't Communicate,False,False,Ended,24,18,24,https://artworks.thetvdb.com/banners/v4/series/402412/posters/6143b4dd36b12.jpg
144,79501,Heroes,True,False,Ended,78,78,41,https://artworks.thetvdb.com/banners/posters/79501-2.jpg
145,378878,Deca-Dence,True,False,Ended,12,12,24,https://artworks.thetvdb.com/banners/v4/series/378878/posters/67d816d99500d.jpg
146,339353,B: The Beginning,False,False,Ended,18,12,25,https://artworks.thetvdb.com/banners/posters/5c2d5a9c04767.jpg
147,391625,Ranking of Kings,True,False,Ended,23,23,23,https://artworks.thetvdb.com/banners/v4/series/391625/posters/613b55e3647eb.jpg
148,362472,Loki,False,False,Ended,12,6,49,https://artworks.thetvdb.com/banners/v4/series/362472/posters/609c18467f2c8.jpg
149,281249,Tokyo Ghoul,True,False,Ended,48,48,25,https://artworks.thetvdb.com/banners/posters/281249-7.jpg
150,299508,ReLIFE,True,False,Ended,13,18,25,https://artworks.thetvdb.com/banners/posters/5afb0dff4d5fa.jpg
151,305074,My Hero Academia,False,False,Ended,170,113,23,https://artworks.thetvdb.com/banners/posters/305074-11.jpg
152,293119,Monster Musume: Everyday Life with Monster Girls,True,False,Ended,12,12,24,https://artworks.thetvdb.com/banners/v4/series/293119/posters/6433f78fc38f4.jpg
153,99151,River Monsters,True,False,Ended,58,58,58,https://artworks.thetvdb.com/banners/posters/99151-5.jpg
154,269875,Blood Lad,True,False,Ended,10,10,25,https://artworks.thetvdb.com/banners/posters/269875-5.jpg
155,347294,The Master of Ragnarok and Blesser of Einherjar,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/posters/5aeeeaedc3466.jpg
156,78857,Naruto,True,False,Ended,220,223,25,https://artworks.thetvdb.com/banners/v4/series/78857/posters/6069f97b9bad8.jpg
157,297317,Danchigai,True,False,Ended,12,12,5,https://artworks.thetvdb.com/banners/posters/297317-1.jpg
158,80014,Tokyo Majin,True,False,Ended,26,26,25,https://artworks.thetvdb.com/banners/posters/80014-1.jpg
159,318893,Miss Kobayashi's Dragon Maid,False,False,Continuing,25,14,24,https://artworks.thetvdb.com/banners/posters/318893-4.jpg
160,299502,Undefeated Bahamut Chronicle,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/posters/299502-1.jpg
161,374198,Gleipnir,True,False,Ended,13,13,25,https://artworks.thetvdb.com/banners/series/374198/posters/5eabdfe38893d.jpg
162,331980,Marvel's The Punisher,True,False,Ended,26,26,52,https://artworks.thetvdb.com/banners/posters/331980-3.jpg
163,244061,Steins;Gate,False,False,Ended,24,13,25,https://artworks.thetvdb.com/banners/series/244061/posters/5f44d6fbaad70.jpg
164,81189,Breaking Bad,True,False,Ended,62,75,48,https://artworks.thetvdb.com/banners/posters/81189-10.jpg
165,259640,Sword Art Online,True,False,Ended,96,96,25,https://artworks.thetvdb.com/banners/series/259640/posters/603f4ffcec25e.jpg
166,355220,Darwin's Game,True,False,Ended,11,11,26,https://artworks.thetvdb.com/banners/posters/5c41030a332a6.jpg
167,374787,The 8th son? Are you kidding me?,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/series/374787/posters/5fbd587c83e94.jpg
168,283935,Trinity Seven,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/posters/283935-1.jpg
169,295068,Dragon Ball Super,True,False,Ended,131,131,25,https://artworks.thetvdb.com/banners/posters/295068-9.jpg
170,326490,Marvel's The Defenders,True,False,Ended,8,8,49,https://artworks.thetvdb.com/banners/posters/326490-5.jpg
171,275274,Rick and Morty,False,False,Continuing,81,41,22,https://artworks.thetvdb.com/banners/posters/275274-2.jpg
172,332994,A Sister's All You Need,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/posters/332994-1.jpg
173,76320,Justice League,True,False,Ended,91,91,25,https://artworks.thetvdb.com/banners/posters/76320-3.jpg
174,355567,The Boys,False,False,Continuing,32,16,63,https://artworks.thetvdb.com/banners/posters/5c5c402b075cc.jpg
175,83358,ChäoS;Head,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/posters/83358-1.jpg
176,80042,Darker Than Black,True,False,Ended,37,37,25,https://artworks.thetvdb.com/banners/posters/80042-1.jpg
177,299511,Anti-Magic Academy: The 35th Test Platoon,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/posters/299511-2.jpg
178,279201,Heroes Reborn,True,False,Ended,13,13,45,https://artworks.thetvdb.com/banners/posters/279201-2.jpg
179,362053,Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/posters/5ca8614c25c35.jpg
180,276890,Black Bullet,True,False,Ended,13,13,25,https://artworks.thetvdb.com/banners/posters/276890-3.jpg
181,281662,Marvel's Daredevil,True,False,Ended,39,39,53,https://artworks.thetvdb.com/banners/posters/281662-1.jpg
182,352564,"My Sister, My Writer",True,False,Ended,10,10,25,https://artworks.thetvdb.com/banners/posters/5babc5c4701e5.jpg
183,71278,Hellsing,True,False,Ended,13,13,25,https://artworks.thetvdb.com/banners/v4/series/71278/posters/60fafa1952516.jpg
184,303073,Myriad Colors Phantom World,True,False,Ended,13,13,24,https://artworks.thetvdb.com/banners/posters/303073-4.jpg
185,79481,Death Note,True,False,Ended,37,37,23,https://artworks.thetvdb.com/banners/posters/79481-11.jpg
186,284439,Laughing Under the Clouds,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/posters/284439-2.jpg
187,354170,Domestic Girlfriend,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/posters/5c411f44b54ea.jpg
188,317430,Seven Deadly Sins: Signs of Holy War,True,False,Ended,4,4,25,https://dg31sz3gwrwan.cloudfront.net/poster/317430/1160298-0-optimized.jpg
189,283925,Ai: Tenchi Muyo!,True,False,Ended,50,50,5,https://artworks.thetvdb.com/banners/posters/283925-1.jpg
190,329422,My First Girlfriend is a Gal,True,False,Ended,10,10,25,https://artworks.thetvdb.com/banners/v4/series/329422/posters/67351d4ee92e3.jpg
191,352408,That Time I Got Reincarnated as a Slime,False,False,Continuing,72,48,24,https://artworks.thetvdb.com/banners/posters/5b953288cd1f0.jpg
192,279831,Parasyte -the maxim-,True,False,Ended,24,24,23,https://artworks.thetvdb.com/banners/posters/279831-3.jpg
193,257395,Zetman,True,False,Ended,13,13,25,https://artworks.thetvdb.com/banners/posters/257395-2.jpg
194,362392,WandaVision,False,False,Ended,9,0,36,https://artworks.thetvdb.com/banners/series/362392/posters/5f6a1111c2752.jpg
195,278155,No Game No Life,True,False,Ended,12,19,25,https://artworks.thetvdb.com/banners/posters/278155-2.jpg
196,294002,Overlord,True,False,Ended,52,52,25,https://artworks.thetvdb.com/banners/posters/5b3832a5901f9.jpg
197,311537,Taboo Tattoo,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/posters/311537-1.jpg
198,79604,Black Lagoon,True,False,Ended,24,36,25,https://artworks.thetvdb.com/banners/posters/79604-1.jpg
199,299963,Dimension W,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/posters/299963-2.jpg
200,279530,Himegoto,True,False,Ended,13,13,4,https://artworks.thetvdb.com/banners/v4/series/279530/posters/64ea3b248d58b.jpg
201,84573,Samurai Harem,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/posters/84573-12.jpg
202,83322,A Certain Magical Index,True,False,Ended,74,74,25,https://artworks.thetvdb.com/banners/posters/83322-1.jpg
203,283963,Absolute Duo,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/posters/283963-1.jpg
204,299501,Hundred,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/posters/299501-1.jpg
205,389422,How a Realist Hero Rebuilt the Kingdom,True,False,Ended,26,26,24,https://artworks.thetvdb.com/banners/v4/series/389422/posters/60d3017ae21ac.jpg
206,284719,The Testament of Sister New Devil,True,False,Ended,22,23,24,https://artworks.thetvdb.com/banners/v4/series/284719/posters/67351ce907dfd.jpg
207,325208,WorldEnd: What are you doing at the end of the world? Are you busy? Will you save us?,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/posters/325208-3.jpg
208,85249,Fullmetal Alchemist: Brotherhood,True,False,Ended,64,68,25,https://artworks.thetvdb.com/banners/posters/85249-7.jpg
209,401233,My Dress-Up Darling,False,False,Ended,24,12,24,https://artworks.thetvdb.com/banners/v4/series/401233/posters/61c21deb63d22.jpg
210,390832,Tsukimichi -Moonlit Fantasy-,False,False,Continuing,37,12,24,https://artworks.thetvdb.com/banners/v4/series/390832/posters/60e1b7d37c4d4.jpg
211,289909,Food Wars!,True,False,Ended,86,86,24,https://artworks.thetvdb.com/banners/posters/5d822f3e7a393.jpg
212,360579,The Helpful Fox Senko-san,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/posters/5c7e3aa616ad8.jpg
213,401279,Skeleton Knight in Another World,True,False,Continuing,12,12,24,https://artworks.thetvdb.com/banners/v4/series/401279/posters/6182b2ee0797a.jpg
214,79071,Great Teacher Onizuka,True,False,Ended,43,43,26,https://artworks.thetvdb.com/banners/posters/79071-5.jpg
215,354198,Kaguya-sama: Love Is War,True,False,Ended,37,38,24,https://artworks.thetvdb.com/banners/posters/5c1c8d91b8893.jpg
216,295224,God Eater,True,False,Ended,13,13,25,https://artworks.thetvdb.com/banners/v4/series/295224/posters/60448d7a75cba.jpg
217,252343,Majikoi Oh! Samurai Girls!,True,False,Ended,12,12,30,https://artworks.thetvdb.com/banners/posters/252343-1.jpg
218,378380,Fernando,False,False,Ended,9,5,49,https://artworks.thetvdb.com/banners/v4/series/378380/posters/68840ed5193c7.jpg
219,321697,Love Tyrant,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/posters/321697-3.jpg
220,361749,"Hensuki: Are you willing to fall in love with a pervert, as long as she's a cutie?",True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/posters/5c9f78a5c14de.jpg
221,326613,The Commute (2016),True,False,Ended,21,21,10,https://artworks.thetvdb.com/banners/posters/326613-1.jpg
222,305089,"Re: ZERO, Starting Life in Another World",False,False,Continuing,66,39,27,https://artworks.thetvdb.com/banners/v4/series/305089/posters/60aa37d7c847b.jpg
223,341663,Titans (2018),False,True,Ended,49,12,47,https://artworks.thetvdb.com/banners/posters/5d8040089117b.jpg
224,371662,Interspecies Reviewers,False,True,Ended,12,3,25,https://artworks.thetvdb.com/banners/series/371662/posters/62044471.jpg
225,257655,Arrow,False,True,Ended,170,160,42,https://artworks.thetvdb.com/banners/posters/257655-19.jpg
226,195711,The World God Only Knows,False,True,Ended,36,12,25,https://artworks.thetvdb.com/banners/posters/195711-2.jpg
227,76666,Dragon Ball,False,True,Ended,153,31,25,https://artworks.thetvdb.com/banners/posters/76666-16.jpg
228,289882,Is It Wrong to Try to Pick Up Girls in a Dungeon?,False,True,Continuing,74,28,25,https://artworks.thetvdb.com/banners/posters/5d3e1125729f8.jpg
229,328749,Dynasty (2017),False,True,Ended,108,35,43,https://artworks.thetvdb.com/banners/posters/328749-1.jpg
230,260315,Orphan Black,False,True,Ended,50,21,43,https://artworks.thetvdb.com/banners/posters/260315-4.jpg
231,75710,Criminal Minds,False,True,Continuing,354,280,46,https://artworks.thetvdb.com/banners/posters/75710-5.jpg
232,295640,Chicago Med,False,True,Continuing,212,79,44,https://artworks.thetvdb.com/banners/series/295640/posters/5f805880c109e.jpg
233,281617,Empire (2015),False,True,Ended,102,48,43,https://artworks.thetvdb.com/banners/posters/281617-4.jpg
234,284190,Marvel's Jessica Jones,False,True,Ended,39,26,51,https://artworks.thetvdb.com/banners/posters/284190-4.jpg
235,332525,Black Lightning,False,True,Ended,58,10,42,https://artworks.thetvdb.com/banners/series/332525/posters/60148635c9919.jpg
236,74608,Top Gear,False,True,Ended,230,171,60,https://artworks.thetvdb.com/banners/posters/74608-4.jpg
237,305288,Stranger Things,False,True,Ended,42,17,65,https://artworks.thetvdb.com/banners/posters/305288-4.jpg
238,295685,Lucifer,False,True,Ended,93,67,47,https://artworks.thetvdb.com/banners/posters/295685-9.jpg
239,73787,That '70s Show,False,True,Ended,200,33,25,https://artworks.thetvdb.com/banners/posters/73787-10.jpg
240,295760,DC's Legends of Tomorrow,False,True,Ended,110,61,42,https://artworks.thetvdb.com/banners/posters/295760-4.jpg
241,75692,Law & Order: Special Victims Unit,False,True,Continuing,588,162,44,https://artworks.thetvdb.com/banners/posters/75692-10.jpg
242,264586,Orange Is the New Black,False,True,Ended,91,52,60,https://artworks.thetvdb.com/banners/posters/264586-4.jpg
243,289590,Mr. Robot,False,True,Ended,45,26,50,https://artworks.thetvdb.com/banners/posters/289590-1.jpg
244,371000,Appare-Ranman!,False,True,Ended,13,1,24,https://artworks.thetvdb.com/banners/series/371000/posters/5e85cae67b611.jpg
245,284131,The Seven Deadly Sins,False,True,Ended,96,66,24,https://artworks.thetvdb.com/banners/series/284131/posters/601d611f8f7d4.jpg
246,295759,Supergirl,False,True,Ended,126,22,42,https://artworks.thetvdb.com/banners/posters/295759-7.jpg
247,373679,"Bofuri: I Don't Want to Get Hurt, so I'll Max Out My Defense",False,True,Ended,24,4,24,https://artworks.thetvdb.com/banners/v4/series/373679/posters/619fc89936e90.jpg
248,78804,Doctor Who (2005),False,True,Ended,153,2,47,https://artworks.thetvdb.com/banners/posters/78804-52.jpg
249,355622,Doom Patrol,False,True,Ended,46,6,51,https://artworks.thetvdb.com/banners/posters/5c5c5fb608efb.jpg
250,95441,NCIS: Los Angeles,False,True,Ended,323,195,45,https://artworks.thetvdb.com/banners/posters/95441-4.jpg
251,353232,Narcos: Mexico,False,True,Ended,30,10,59,https://artworks.thetvdb.com/banners/v4/series/353232/posters/61799119ebf40.jpg
252,347734,Super Dragon Ball Heroes,False,True,Ended,54,19,10,https://artworks.thetvdb.com/banners/posters/5b02fddd937fb.jpg
253,357888,"Love, Death & Robots",False,True,Continuing,45,18,13,https://artworks.thetvdb.com/banners/v4/series/357888/posters/607da9fc6a6a1.jpg
254,279121,The Flash (2014),False,True,Ended,184,121,42,https://artworks.thetvdb.com/banners/posters/279121-5.jpg
255,311711,The Good Place,False,True,Ended,50,37,26,https://artworks.thetvdb.com/banners/posters/311711-3.jpg
256,269578,Sleepy Hollow,False,True,Ended,62,37,45,https://artworks.thetvdb.com/banners/posters/269578-5.jpg
257,328634,The Good Doctor,False,True,Ended,126,30,43,https://artworks.thetvdb.com/banners/posters/328634-2.jpg
258,341455,Marvel's Cloak & Dagger,False,True,Ended,20,10,42,https://artworks.thetvdb.com/banners/v4/series/341455/posters/61bf602033faf.jpg
259,273181,Better Call Saul,False,True,Ended,63,31,50,https://artworks.thetvdb.com/banners/posters/273181-7.jpg
260,326288,Manhunt (2017),False,True,Ended,18,8,44,https://artworks.thetvdb.com/banners/posters/326288-1.jpg
261,347425,How Not to Summon a Demon Lord,False,True,Ended,22,13,24,https://artworks.thetvdb.com/banners/posters/5af3c840ebba9.jpg
262,311900,Shooter,False,True,Ended,31,19,43,https://artworks.thetvdb.com/banners/posters/311900-4.jpg
263,323168,13 Reasons Why,False,True,Ended,49,13,58,https://artworks.thetvdb.com/banners/posters/323168-2.jpg
264,261862,"Love, Chunibyo & Other Delusions!",False,True,Ended,24,12,25,https://artworks.thetvdb.com/banners/series/261862/posters/5fe1616e8435b.jpg
265,192061,Young Justice,False,True,Ended,98,62,25,https://artworks.thetvdb.com/banners/posters/192061-1.jpg
266,295220,Classroom Crisis,False,True,Ended,13,4,25,https://artworks.thetvdb.com/banners/posters/295220-1.jpg
267,348002,The Promised Neverland,False,True,Ended,23,14,23,https://artworks.thetvdb.com/banners/v4/series/348002/posters/6044aa9867936.jpg
268,327417,Money Heist,False,True,Ended,41,7,57,https://artworks.thetvdb.com/banners/posters/327417-4.jpg
